"1619","33, 52"
"1733","51, 33, 75, 26"
"1740","31, 41, 23, 51, 33, 75, 481, 26"
"1751","66, 62, 25, 26"
"1772","51, 67, 68"
"1774","23, 62, 58, 25, 288, 30, 47"
"1775","58, 25"
"1799","31, 24"
"1809","41, 66, 23, 69, 67, 62, 58, 28, 26, 25"
"1815","41, 66, 23, 69, 67, 62, 58, 28, 26, 25"
"1817","26, 25, 61, 75, 77"
"1826","23, 33, 318, 42"
"1852","55, 41, 23, 33, 42"
"1854","47, 24, 23, 30"
"1858","26, 80, 69, 72, 67, 27"
"1862","26, 80, 69, 72, 67, 27"
"1868","65, 34, 64"
"1876","97, 24, 31, 26, 50, 75"
"1881","25, 26, 41, 60, 62, 23, 58"
"1882","55, 45, 38, 41, 33, 23, 79, 27"
"1898","153, 41, 33, 23"
"1907","23, 153, 318, 41, 33"
"1910","33, 23, 153, 318, 41"
"1915","33, 23, 318, 41"
"1919","41, 33, 55, 23, 153, 318"
"1920","318, 41, 33, 55, 23, 153"
"2029","59, 25, 62, 58, 288"
"2041","30, 65, 34"
"2118","287, 41, 25, 33, 55, 45, 23, 42, 54, 58"
"2161","97, 26, 67"
"2163","64, 41, 65, 34, 23, 42"
"2172","58, 59, 25, 62"
"2179","58, 31, 25, 33, 23, 207"
"2203","350, 58, 97, 66, 26, 25, 38, 69, 23, 62"
"2328","318, 41, 55, 33, 23, 153"
"2329","23, 153, 318, 41, 55, 33"
"2369","23, 41, 55, 33"
"2424","23, 350, 97, 66, 45, 41, 69, 78, 28"
"2438","30, 24, 289"
"2439","30, 24, 289"
"2440","30, 24, 289"
"2453","27, 80, 26, 72, 69, 67"
"2454","67, 27, 80, 26, 72, 69"
"2455","69, 67, 27, 80, 26, 72"
"2626","47, 67, 27, 30, 80, 26, 72"
"2641","26, 68, 75"
"2642","30, 289"
"2689","62, 26, 61, 69, 58, 60, 25, 38"
"2707","72, 69, 67, 27, 80"
"2819","33"
"2852","47, 30, 289"
"2863","47, 30, 289"
"2874","289, 47, 30"
"2880","289, 47, 30"
"3003","289, 23, 50, 24, 47, 30"
"3041","33, 23, 52"
"3048","33, 53"
"3080","33, 53"
"3086","33, 53"
"3100","33, 23, 52"
"3102","33, 23, 52"
"3103","52, 33, 23"
"3202","64, 34"
"3213","30, 289, 47"
"3264","26, 57, 70, 33, 481, 23"
"3298","52, 318, 33"
"3310","52, 33"
"3344","26, 67, 350, 97, 66, 29, 23, 38, 28"
"3390","51, 26, 68, 33"
"3393","62, 59, 58, 60, 25"
"3460","62, 59, 26, 58, 73, 60, 25"
"3469","28, 97, 26, 29, 481, 23"
"3477","34"
"3479","28, 70, 97, 26, 29, 75"
"3488","28, 70, 97, 26, 29, 75"
"3489","29, 75, 28, 70, 97, 26"
"3500","26, 29, 75, 28, 70, 97"
"3522","97, 26, 29, 75, 28, 70"
"3523","23, 97, 26, 29, 28, 481"
"3552","23, 97, 26, 29, 28, 481"
"3553","481, 23, 97, 26, 29, 28"
"3573","33, 52, 318"
"3577","33, 52, 318"
"3578","33, 52, 318"
"3579","33, 52, 318"
"3581","23, 97, 26, 29, 28"
"3583","23, 97, 26, 29, 28"
"3585","28, 23, 97, 26, 29"
"3586","28, 23, 97, 26, 29"
"3587","29, 28, 23, 97, 26"
"3590","29, 28, 23, 97, 26"
"3591","26, 29, 28, 23, 97"
"3593","31, 227, 24"
"3601","33, 52"
"3625","30, 289, 50, 24"
"3663","31, 227, 24"
"3664","42, 70, 97, 26, 75, 23"
"3680","34"
"3682","34"
"3683","34"
"3687","34"
"3688","34"
"3742","33, 52"
"3745","481, 33, 52"
"3746","33, 52"
"3748","52, 33"
"3749","52, 33"
"3763","23, 153, 41, 55, 33"
"3841","97, 26, 69, 67, 66"
"3871","33, 42, 70, 23, 26, 57"
"3883","33, 42, 70, 23, 26, 57"
"3891","33, 42, 70, 23, 26, 57"
"3903","287, 33, 57"
"3928","44, 23, 33, 56"
"3937","42, 70, 23, 33, 26, 57"
"3940","287, 33, 57"
"3941","42, 70, 23, 26, 33, 57"
"3946","57, 42, 70, 23, 26, 33"
"3947","57, 42, 70, 23, 26, 33"
"3950","33, 57, 287"
"3968","33, 44, 56, 23"
"3980","23, 33, 44, 56, 41"
"3988","23, 33, 44, 56, 41"
"3997","23, 57, 33, 42, 70, 26"
"4001","26, 41, 23, 75, 33, 45, 55"
"4002","26, 23, 57, 33, 42, 70"
"4018","55, 41, 26, 23, 75, 33, 45"
"4025","55, 41, 26, 23, 44, 75, 33, 45"
"4060","26, 57, 23, 33, 42, 70"
"4063","42, 70, 26, 57, 23"
"4066","97, 29, 28, 26, 66"
"4092","55, 41, 69, 26, 23, 33"
"4110","33, 42, 70, 52, 23"
"4118","23, 33, 42, 70, 57, 26"
"4120","33, 287, 57"
"4141","33, 52"
"4176","33, 52"
"4181","79, 30, 27, 33, 52, 47"
"4194","33, 52"
"4196","33, 52"
"4203","33, 52"
"4208","51, 68, 33, 26"
"4209","23, 42, 41, 207, 33"
"4212","33, 52"
"4221","52, 33"
"4229","52, 33"
"4237","52, 33"
"4251","52, 33"
"4252","52, 33"
"4299","26, 97, 67, 28, 66"
"4301","23, 27, 33, 80, 318"
"4313","23, 62, 58, 44, 33, 56"
"4317","66, 26, 70, 23, 42, 52, 33"
"4329","66, 26, 70, 23, 42"
"4333","25, 66, 26, 55, 62, 97, 350, 287, 28"
"4341","66, 26, 97, 23, 28"
"4346","66, 26, 69, 67"
"4356","66, 70, 26, 42, 97, 23"
"4377","66, 70, 26, 23"
"4380","66, 97, 26, 28"
"4383","70, 66, 26, 23"
"4397","42, 70, 26, 23"
"4408","26, 97, 66, 28"
"4416","34, 65, 64"
"4424","23, 26, 73, 42, 70, 66"
"4430","66, 23, 26, 73, 42, 70"
"4439","23, 26, 350, 75"
"4447","66, 29, 26, 67, 73, 97"
"4450","52, 33"
"4460","97, 28, 66, 26, 350"
"4463","28, 72, 481, 66, 26, 69, 27, 350"
"4465","97, 28, 23, 66, 41, 26, 67, 73"
"4480","70, 25, 62, 227, 26, 24"
"4521","27, 26, 80, 67"
"4523","24, 31, 227"
"4541","33, 55, 23, 41, 69, 26, 54"
"4561","67, 26, 33, 23, 27, 318, 80"
"4572","26, 97, 28, 66, 23, 41, 350"
"4583","26, 97, 28, 66, 23, 41, 350"
"4588","350, 26, 97, 28, 66, 23, 41"
"4596","41, 67, 350, 26, 97, 28, 66, 23"
"4604","23, 41, 33, 55, 26, 97, 28, 69, 75"
