"1815","67, 62, 58, 28, 26, 25, 41, 66, 23, 69"
"1817","75, 77, 26, 25, 61"
"1826","23, 33, 318, 42"
"1852","23, 33, 42, 55, 41"
"1854","23, 30, 47, 24"
"1858","69, 72, 67, 27, 26, 80"
"1862","69, 72, 67, 27, 26, 80"
"1868","65, 34, 64"
"1876","75, 97, 24, 31, 26, 50"
"1881","41, 60, 62, 23, 58, 25, 26"
"1882","38, 41, 33, 23, 79, 27, 55, 45"
"1898","153, 41, 33, 23"
"1907","153, 318, 41, 33, 23"
"1910","153, 318, 41, 33, 23"
"1915","318, 41, 33, 23"
"1919","153, 318, 41, 33, 55, 23"
"1920","23, 153, 318, 41, 33, 55"
"2029","62, 58, 288, 59, 25"
"2041","30, 65, 34"
"2118","33, 55, 45, 23, 42, 54, 58, 287, 41, 25"
"2161","26, 67, 97"
"2163","23, 42, 64, 41, 65, 34"
"2172","25, 62, 58, 59"
"2179","25, 33, 23, 207, 58, 31"
"2203","66, 26, 25, 38, 69, 23, 62, 350, 58, 97"
"2328","55, 33, 23, 153, 318, 41"
"2329","41, 55, 33, 23, 153, 318"
"2369","41, 55, 33, 23"
"2424","66, 45, 41, 69, 78, 28, 23, 350, 97"
"2438","289, 30, 24"
"2439","289, 30, 24"
"2440","24, 289, 30"
"2453","26, 72, 69, 67, 27, 80"
"2454","26, 72, 69, 67, 27, 80"
"2455","80, 26, 72, 69, 67, 27"
"2626","80, 26, 72, 47, 67, 27, 30"
"2641","68, 75, 26"
"2642","30, 289"
"2689","60, 25, 38, 62, 26, 61, 69, 58"
"2707","80, 72, 69, 67, 27"
"2819","33"
"2852","30, 289, 47"
"2863","30, 289, 47"
"2874","30, 289, 47"
"2880","47, 30, 289"
"3003","24, 47, 30, 289, 23, 50"
"3041","52, 33, 23"
"3048","33, 53"
"3080","53, 33"
"3086","53, 33"
"3100","23, 52, 33"
"3102","33, 23, 52"
"3103","33, 23, 52"
"3202","34, 64"
"3213","47, 30, 289"
